k,response_step,condition,layer,n,safety_projection_mean,safety_projection_std,kl_to_static_mean,kl_to_static_std,refusal_logmass_mean,refusal_logmass_std,compliance_logmass_mean,compliance_logmass_std,refusal_margin_mean,refusal_margin_std
5,4,adaptive,28,23,10.57882833480835,3.2054090012209335,16.92459473443096,7.110257312336484,-8.281521859376326,2.0659334969117444,-16.401353587274965,1.4010250803246969,8.119831727898639,1.5059174958049162
5,4,clean,28,23,8.143584023351254,10.549582919517114,15.514038439541526,8.033948080945729,-12.452716345372407,5.154462004505829,-18.445528963337775,4.704624642939064,5.992812592050304,2.2844454716597586
5,4,refusal,28,23,54.107807574064836,26.30201786112084,17.703234527422033,5.017037715060483,-13.669337697651075,6.046700655421935,-17.854662190312926,4.815442203976146,4.185324503027874,2.1932204626892307
5,4,static,28,23,4.1464100713315216e-08,17.113043990509855,0.0,0.0,-12.781065889026808,6.918482399980207,-18.247065896573275,5.611231773875189,5.466000017912491,3.617013516211474
5,8,adaptive,28,23,12.901759230572244,2.6141759818440518,22.48683314392142,9.445311677311514,-16.80807513776033,3.5994438500328325,-21.23083844392196,3.1990997827822847,4.422763306161632,1.1471180357629764
5,8,clean,28,23,9.821130690367326,8.339559132919796,21.22140025824078,9.977041710278774,-16.535303053648576,5.947692748905147,-19.561724123747453,4.7420919244875375,3.026421070098877,2.1695508842082485
5,8,refusal,28,23,59.539990383645765,26.711386990571746,23.25734043121338,5.882455167934618,-12.621196114498636,6.430434423059325,-18.240402719248895,5.239329714796336,5.619206594384235,2.3764188179615653
5,8,static,28,23,-1.9177146579908289e-07,12.593206655438077,0.0,0.0,-21.260377002798993,7.083181129624801,-23.198539650958516,5.139788013180356,1.9381626585255498,2.9337933739416644
5,16,adaptive,28,23,2.7254455931808637,10.622253583514242,21.263915064322806,6.3442978459236015,-19.935261830039646,5.110596259870644,-22.088532572207242,2.723903012551892,2.153270721435547,2.732346024942499
5,16,clean,28,23,8.532949419125266,15.901348518485444,20.05895212493634,7.473934069353052,-18.475440232650094,6.058403993359242,-20.76577087070631,4.4540344385587005,2.290330638056216,2.7355000221017916
5,16,refusal,28,23,57.88743002518363,20.581696222105883,22.17645728069803,6.874446753386344,-11.381487089654673,6.722624407785961,-14.47352173017419,4.284887206155001,3.09203460942144,3.248672670747525
5,16,static,28,23,2.0732050356657608e-08,15.873435027909748,0.0,0.0,-20.97639943205792,6.849103447495795,-23.576750071152397,6.263640058000512,2.600350639094477,1.8911969923387917
10,0,adaptive,28,23,2.7747419683829597,2.850859474571322,5.190692432548689,3.9559419180139788,-2.09358646493891,3.0066663315355755,-6.653202927630881,1.309416101053756,4.5596164827761445,3.677456317059157
