k,response_step,metric,adaptive,static,refusal,clean,adaptive_minus_static,adaptive_minus_refusal,adaptive_minus_clean
15,4,refusal_margin,1.4465471886418348,0.686906086155242,2.2199147288784657,3.7681679637885535,0.7596411024865929,-0.7733675402366309,-2.3216207751467186
15,4,refusal_logmass,-11.332791030772624,-13.45960978350025,-16.743997102866143,-14.536486900657232,2.126818752727626,5.411206072093519,3.2036958698846085
15,4,compliance_logmass,-12.77933821941446,-14.146515869655492,-18.96391183466999,-18.304654864994298,1.3671776502410324,6.18457361525553,5.525316645579839
15,8,kl_to_static,14.18278028676572,0.0,16.806349142928795,17.253088430758634,14.18278028676572,-2.6235688561630752,-3.0703081439929143
15,8,safety_projection,-1.315446778857635,-5.229119142871693e-08,39.09947350346969,19.65388635130016,-1.3154467265664436,-40.41492028232732,-20.969333130157793
15,8,refusal_margin,1.3132792162748934,0.9283323346471494,3.0506104837897365,3.1212654991383935,0.38494688162774404,-1.7373312675148431,-1.8079862828635
15,8,refusal_logmass,-12.029909610748293,-13.798577605580991,-13.763065276701758,-13.8480063771909,1.7686679948326987,1.7331556659534648,1.8180967664426078
15,8,compliance_logmass,-13.343188824463477,-14.726909938034105,-16.813675757566113,-16.969271876329294,1.383721113570628,3.4704869331026362,3.626083051865818
15,16,kl_to_static,13.900697506964208,0.0,16.14749436729525,16.270744916851534,13.900697506964208,-2.24679686033104,-2.3700474098873254
15,16,safety_projection,-3.832740849878159,2.7425450050026363e-10,29.81842861658225,18.645002246817196,-3.8327408501524136,-33.65116946646041,-22.477743096695356
15,16,refusal_margin,1.2812490170718702,0.9204997723819288,1.849636089582385,2.7780247612233544,0.3607492446899414,-0.5683870725105147,-1.4967757441514842
15,16,refusal_logmass,-12.60566638583786,-14.055956820037467,-15.62550427723516,-16.741261944449022,1.4502904341996068,3.0198378913973,4.135595558611161
15,16,compliance_logmass,-13.88691540144704,-14.976456592419396,-17.475140366817545,-19.519286705672375,1.0895411909723567,3.5882249653705056,5.632371304225336
20,0,kl_to_static,13.82961266986066,0.0,16.46590081606906,11.843138368583164,13.82961266986066,-2.6362881462083987,1.9864743012774966
20,0,safety_projection,-1.6293120638358811,6.966064312706695e-08,45.27427077366531,5.14724695115733,-1.6293121334965242,-46.90358283750119,-6.776559014993211
20,0,refusal_margin,1.162990420873911,1.0000443268407342,2.2147477038798886,-3.698489019475831,0.16294609403317684,-1.0517572830059776,4.861479440349742
20,0,refusal_logmass,-11.301377785717785,-12.892519527600587,-16.373802404462193,-6.436566478635636,1.5911417418828027,5.072424618744408,-4.864811307082149
20,0,compliance_logmass,-12.464368209517076,-13.892563855355505,-18.58855009956594,-2.7380774664732574,1.4281956458384286,6.124181890048863,-9.726290743043819
20,1,kl_to_static,12.8779961420166,0.0,14.944086442330132,14.459365982219486,12.8779961420166,-2.0660903003135314,-1.5813698402028855
20,1,safety_projection,-1.8795045391182224,3.839563007003691e-09,40.75551309541691,12.098123449489384,-1.8795045429577855,-42.63501763453513,-13.977627988607606
20,1,refusal_margin,1.3033649350967875,0.9417834545205708,2.268062258059262,5.2592136230936815,0.36158148057621675,-0.9646973229624745,-3.9558486879968937
20,1,refusal_logmass,-11.34108873379011,-13.405304297347742,-15.845324946327445,-3.2975840702355823,2.0642155635576316,4.504236212537334,-8.043504663554529
20,1,compliance_logmass,-12.64445367327497,-14.347087751868312,-18.113387201461325,-8.556797698962908,1.7026340785933414,5.468933528186355,-4.087655974312062
20,2,kl_to_static,13.682743113933622,0.0,15.458347420019606,17.07338235714684,13.682743113933622,-1.7756043060859845,-3.3906392432132186
20,2,safety_projection,-1.3106250589244937,4.69889377523785e-08,39.13352803986497,21.784313135717543,-1.3106251059134315,-40.444153098789464,-23.094938194642037
20,2,refusal_margin,1.2937740146016783,0.8639922361432409,2.599662575985025,3.9522735180298976,0.42978177845843735,-1.3058885613833466,-2.658499503428219
20,2,refusal_logmass,-11.589698159255864,-13.557941708828045,-15.324192322104986,-11.062524944726675,1.9682435495721808,3.7344941628491224,-0.5271732145291885
20,2,compliance_logmass,-12.88347217495456,-14.421933943508591,-17.92385489809001,-15.014798462756572,1.538461768554031,5.040382723135449,2.131326287802011
20,4,kl_to_static,13.257714291840244,0.0,15.145175382403508,16.011776388788515,13.257714291840244,-1.8874610905632636,-2.754062096948271
20,4,safety_projection,-1.6108784494590174,3.9492648072037964e-08,37.137718571841354,20.00211425025039,-1.6108784889516654,-38.74859702130037,-21.61299269970941
20,4,refusal_margin,0.8480337543721579,1.059609875357224,2.5428302624474273,3.7681679637885535,-0.21157612098506617,-1.6947965080752694,-2.9201342094163953
20,4,refusal_logmass,-12.06477023341173,-14.00844787234909,-14.711752879839002,-14.536486900657232,1.9436776389373591,2.646982646427272,2.471716667245502
20,4,compliance_logmass,-12.912804000582431,-15.068057747706314,-17.254583136435667,-18.304654864994298,2.155253747123883,4.341779135853235,5.391850864411866
20,8,kl_to_static,13.348039143427384,0.0,15.804946466823298,17.039959889476652,13.348039143427384,-2.456907323395914,-3.6919207460492682
20,8,safety_projection,-3.0630390307654634,-1.7369451698350028e-08,32.397232317485695,12.870393335453572,-3.0630390133960117,-35.46027134825116,-15.933432366219035
20,8,refusal_margin,1.489766910763606,0.9250805421840924,2.233246007579967,3.1212654991383935,0.5646863685795136,-0.7434790968163612,-1.6314985883747875
20,8,refusal_logmass,-12.222625100539506,-14.155511516734869,-15.437222714804433,-13.8480063771909,1.9328864161953625,3.2145976142649264,1.6253812766513942
20,8,compliance_logmass,-13.712392011668785,-15.080592058918958,-17.6704687223844,-16.969271876329294,1.3682000472501734,3.9580767107156145,3.25687986466051
20,16,kl_to_static,14.49377645583012,0.0,15.35512063118301,16.504525689384078,14.49377645583012,-0.8613441753528885,-2.010749233553957
20,16,safety_projection,-1.3641290379448172,-5.3571045764384834e-08,27.10927035472145,18.90627731465123,-1.3641289843737714,-28.473399392666266,-20.270406352596048
20,16,refusal_margin,0.9666503543502714,0.490639543240787,1.5830866573778395,2.7780247612233544,0.47601081110948434,-0.6164363030275681,-1.811374406873083
20,16,refusal_logmass,-13.037638798813148,-14.527350902557371,-16.073625236932486,-16.741261944449022,1.489712103744223,3.0359864381193375,3.7036231456358735
20,16,compliance_logmass,-14.00428915462611,-15.017990444655434,-17.656711894310327,-19.519286705672375,1.0137012900293243,3.6524227396842175,5.514997551046266
