k,response_step,metric,n_success,n_fail,success_mean,fail_mean,success_minus_fail,success_median,fail_median,auc_success_high,auc_success_low
5,8,refusal_margin,6,157,0.6425113677978516,1.775854768267103,-1.1333434004692515,0.5183839797973633,2.1580991744995117,0.3492569002123142,0.6507430997876857
5,8,refusal_logmass,6,157,-11.253864367802938,-10.784158667181707,-0.4697057006212315,-12.92340898513794,-11.040191650390623,0.4256900212314225,0.5743099787685775
5,8,compliance_logmass,6,157,-11.89637573560079,-12.560013434499693,0.6636376988989028,-12.896228790283203,-13.391020774841309,0.5180467091295117,0.4819532908704883
5,16,safety_projection,6,157,-2.339354316393534,2.8624971028725814,-5.201851419266116,-2.203652262687683,1.0643419027328491,0.30042462845010615,0.6995753715498938
5,16,kl_to_static,6,157,13.915946324666342,15.007162756553502,-1.09121643188716,13.88052749633789,15.155122756958008,0.41932059447983017,0.5806794055201698
5,16,refusal_margin,6,157,1.1853079795837402,2.4191209449889555,-1.2338129654052152,1.1808066368103027,2.452773094177246,0.2611464968152866,0.7388535031847133
5,16,refusal_logmass,6,157,-12.623952229817709,-12.22699076962319,-0.39696146019451817,-12.880040168762207,-12.379412651062012,0.46284501061571126,0.5371549893842887
5,16,compliance_logmass,6,157,-13.80926020940145,-14.646111714612147,0.8368515052106975,-14.06084680557251,-14.697375297546388,0.6358811040339702,0.3641188959660297
10,0,safety_projection,13,150,-3.275195671961858,-1.4933702499667802,-1.7818254219950775,-4.2147216796875,-2.0128772854804993,0.3707692307692308,0.6292307692307693
10,0,kl_to_static,13,150,8.813519578713636,11.827441870371501,-3.013922291657865,7.913700580596924,12.005903244018555,0.3194871794871795,0.6805128205128205
10,0,refusal_margin,13,150,1.328356412740854,1.1893900430202484,0.1389663697206056,0.929741382598877,1.2870488166809082,0.45282051282051283,0.5471794871794872
10,0,refusal_logmass,13,150,-11.317018655630259,-9.73553307811419,-1.5814855775160677,-11.827922821044922,-10.190732479095459,0.3482051282051282,0.6517948717948718
10,0,compliance_logmass,13,150,-12.645375068371113,-10.924923121929169,-1.720451946441944,-13.455821990966797,-11.711301803588867,0.3435897435897436,0.6564102564102564
10,1,safety_projection,13,150,0.8596196724818301,0.939754922191302,-0.08013524970947183,0.5192561149597168,0.4558456540107727,0.5025641025641026,0.49743589743589745
10,1,kl_to_static,13,150,12.998742507054256,12.171047724882762,0.8276947821714948,13.199122428894045,12.034080028533936,0.5533333333333333,0.44666666666666666
10,1,refusal_margin,13,150,1.6707638960618238,1.1741080776850383,0.4966558183767855,1.460245132446289,1.649043083190918,0.521025641025641,0.47897435897435897
10,1,refusal_logmass,13,150,-10.353870006707998,-10.56588307460149,0.2120130678934924,-11.197040557861328,-10.53148078918457,0.45897435897435895,0.541025641025641
10,1,compliance_logmass,13,150,-12.024633902769823,-11.739991151690482,-0.2846427510793408,-14.267897605895996,-12.202301979064941,0.41435897435897434,0.5856410256410256
10,2,safety_projection,13,150,2.3595004769471974,1.9519401190678278,0.4075603578793696,-1.5983190536499023,0.8601479530334473,0.4897435897435897,0.5102564102564102
10,2,kl_to_static,13,150,15.06424383016733,12.749315908191106,2.314927921976224,16.29525375366211,13.338277339935303,0.6671794871794872,0.33282051282051284
10,2,refusal_margin,13,150,1.0031796602102427,1.4488644735018412,-0.4456848132915985,1.2947711944580078,1.624359130859375,0.4282051282051282,0.5717948717948718
10,2,refusal_logmass,13,150,-12.301384522364689,-10.77559921423594,-1.5257853081287482,-12.783222198486328,-11.026660919189451,0.34307692307692306,0.6569230769230769
10,2,compliance_logmass,13,150,-13.304564182574932,-12.224463691711426,-1.0801004908635061,-13.434147834777832,-12.722123622894287,0.4230769230769231,0.5769230769230769
10,4,safety_projection,13,150,-0.8701282510390649,-0.7908982314666112,-0.07923001957245368,-1.365307331085205,-1.1694728136062622,0.522051282051282,0.47794871794871796
10,4,kl_to_static,13,150,15.40721189058744,12.69859260323147,2.7086192873559707,15.592110633850098,12.963868141174316,0.6892307692307692,0.31076923076923074
10,4,refusal_margin,13,150,1.2630575253413274,1.3529941320419312,-0.08993660670060377,1.294485092163086,1.3350720405578613,0.47333333333333333,0.5266666666666666
10,4,refusal_logmass,13,150,-12.41452983709482,-11.04229779402415,-1.372232043070671,-12.053278923034668,-11.611400604248047,0.38666666666666666,0.6133333333333333
10,4,compliance_logmass,13,150,-13.677587362436148,-12.395291925668717,-1.2822954367674306,-12.415849685668944,-12.99741268157959,0.4328205128205128,0.5671794871794872
10,8,safety_projection,13,150,0.6895411152106067,-0.42331813315550487,1.1128592483661115,-0.011311650276184,-1.6904916167259216,0.6076923076923076,0.3923076923076923
10,8,kl_to_static,13,150,12.658650196515596,13.382937225665277,-0.7242870291496804,13.188716888427734,13.423168659210205,0.47384615384615386,0.5261538461538462
10,8,refusal_margin,13,150,1.890963783630958,1.5412939198811848,0.34966986374977327,1.906606674194336,1.807399034500122,0.5271794871794871,0.4728205128205128
10,8,refusal_logmass,13,150,-10.778846768232492,-11.467488927841186,0.688642159608694,-10.688573837280272,-11.63544511795044,0.558974358974359,0.441025641025641
10,8,compliance_logmass,13,150,-12.669810551863451,-13.008782846927643,0.3389722950641918,-13.161364555358888,-13.458484172821045,0.5312820512820513,0.4687179487179487
10,16,safety_projection,13,150,-1.5910979761527135,-2.7112870693206785,1.120189093167965,-3.8319191932678223,-4.1583462953567505,0.5153846153846153,0.4846153846153846
10,16,kl_to_static,13,150,15.294055058405949,13.626847512026627,1.6672075463793217,14.334728240966797,13.865418434143066,0.5820512820512821,0.41794871794871796
10,16,refusal_margin,13,150,1.8146796960097094,1.5544317452112835,0.2602479507984259,2.219484329223633,1.651008129119873,0.5051282051282051,0.4948717948717949
10,16,refusal_logmass,13,150,-12.304974519289457,-12.50149161060651,0.19651709131705353,-13.791768074035645,-12.52163553237915,0.4605128205128205,0.5394871794871795
10,16,compliance_logmass,13,150,-14.119654215299166,-14.055923361331224,-0.06373085396794131,-14.370574951171877,-14.493151664733887,0.4948717948717949,0.5051282051282051
20,0,safety_projection,25,138,-3.2308085536956788,-1.3391858881366425,-1.8916226655590362,-5.3537163734436035,-1.9073702692985535,0.3939130434782609,0.6060869565217392
20,0,kl_to_static,25,138,13.572448692321778,13.876200346951036,-0.3037516546292576,12.781169891357422,13.977940559387207,0.4672463768115942,0.5327536231884058
20,0,refusal_margin,25,138,0.7466864919662476,1.2384077992992124,-0.4917213073329648,0.8758001327514648,1.5742154121398926,0.45710144927536234,0.5428985507246377
20,0,refusal_logmass,25,138,-11.083214402198792,-11.340900137804557,0.25768573560576513,-10.901872634887695,-11.429227828979492,0.5223188405797101,0.4776811594202899
20,0,compliance_logmass,25,138,-11.829900884628296,-12.579307942286782,0.7494070576584857,-12.963162422180176,-12.848778247833252,0.5318840579710145,0.4681159420289855
20,1,safety_projection,25,138,-2.396698715686798,-1.7858099419137705,-0.6108887737730275,-2.705183506011963,-2.746489405632019,0.46144927536231883,0.5385507246376812
20,1,kl_to_static,25,138,13.118736095428467,12.834383831615897,0.28435226381257017,12.01992130279541,13.220121383666992,0.4956521739130435,0.5043478260869565
20,1,refusal_margin,25,138,0.8384531497955322,1.3875880846078845,-0.5491349348123523,1.5357885360717771,1.409510612487793,0.4744927536231884,0.5255072463768116
20,1,refusal_logmass,25,138,-10.767583436965943,-11.444984620895939,0.6774011839299963,-10.85971736907959,-11.558625221252441,0.5649275362318841,0.4350724637681159
