k,response_step,metric,n,mean_diff,median_diff,std_diff,se_diff,adaptive_gt_static,adaptive_lt_static,q25_diff,q75_diff
10,4,refusal_logmass,163,1.9776351832173353,2.1472539901733416,4.559099640630193,0.35709624360599396,113,50,-0.7106785774230975,4.669602394104003
10,4,compliance_logmass,163,1.4138898814976946,1.6694021224975604,5.243624568595547,0.4107123739166057,107,56,-1.5447416305541974,4.353248119354248
10,8,safety_projection,163,-0.33456252451323293,-0.45909690856933594,6.3963861729432665,0.5010036312116292,73,90,-3.84055358171463,2.8662830591201782
10,8,kl_to_static,163,13.32517200248156,13.414209365844728,5.048236250787705,0.3954083797437497,163,0,10.613211154937744,16.54110813140869
10,8,refusal_margin,163,0.3880145045145889,0.5142087936401367,3.3821593546420683,0.26491116580479257,91,72,-1.1715669631958008,1.943225383758545
10,8,refusal_logmass,163,1.8044322699856905,1.5360403060913068,4.229377094791367,0.3312703806435046,113,50,-0.41480207443237394,4.305096626281738
10,8,compliance_logmass,163,1.416417769127828,1.7020950317382812,4.398454830885913,0.34451357100914054,112,51,-0.8549900054931641,3.4763011932373047
10,16,safety_projection,163,-2.621946832702204,-2.8685115575790405,11.36919555359935,0.8905041225313312,63,100,-10.370089769363403,4.110041856765746
10,16,kl_to_static,163,13.759814985050745,13.906230926513672,5.142553676343351,0.40279589066199173,163,0,10.695896625518799,17.156856536865234
10,16,refusal_margin,163,0.5853597415736848,0.5864524841308592,3.458369825768402,0.27088043059561323,96,67,-1.21173095703125,2.4773807525634766
10,16,refusal_logmass,163,1.44219864182677,1.6360502243041974,4.327095327017997,0.33892426329809033,105,58,-1.3358163833618155,3.930328369140624
10,16,compliance_logmass,163,0.8568388951793771,1.4852619171142578,4.281197391082546,0.3353292595026584,101,62,-2.458626270294187,3.334683895111085
15,0,safety_projection,163,-0.9714540513746578,-0.45650601387023926,7.706992786156034,0.6036582637738517,80,83,-5.879786431789398,4.161967039108276
15,0,kl_to_static,163,12.524816553971153,12.386160850524902,4.592343200134717,0.3597000801436655,163,0,9.847137928009033,15.762473106384277
15,0,refusal_margin,163,0.49995715925298584,0.48598480224609375,3.1107810907480538,0.24365517969533496,93,70,-1.0172324180603027,1.9343416690826416
15,0,refusal_logmass,163,1.4057855898617235,2.1077003479003924,4.214925477732869,0.3301384426354753,111,52,-0.8215956687927246,3.8394997119903556
15,0,compliance_logmass,163,0.9058284322542647,1.1489858627319318,4.819259451873627,0.3774735326883254,98,65,-1.3074641227722177,3.2286334037780753
15,1,safety_projection,163,-0.6071713790754599,-0.31531691551208496,6.447693404813815,0.5050223237638853,77,86,-4.032182961702347,2.750511407852173
15,1,kl_to_static,163,12.837032954568512,13.000201225280762,4.90568686075121,0.3842430498052003,163,0,9.755553722381592,15.897564888000488
15,1,refusal_margin,163,0.26170951639947715,0.3850431442260742,3.5483076159025244,0.2779249019927508,91,72,-1.6598830223083496,1.624346137046814
15,1,refusal_logmass,163,1.1608611310552235,1.3817481994628906,4.681267969540266,0.36666520563363203,110,53,-1.625516414642334,3.7548766136169442
15,1,compliance_logmass,163,0.8991516149757098,1.3319883346557617,4.718375251900484,0.36957167230156146,104,59,-1.2101149559020996,3.6686959266662598
15,2,safety_projection,163,-0.8534124391210591,-0.949336051940918,6.58862551689171,0.5160609787162739,73,90,-4.94865819811821,3.432097315788269
15,2,kl_to_static,163,13.3069334677392,13.572630882263184,4.994733651697527,0.3912177327598599,163,0,10.524457931518555,16.665297508239746
15,2,refusal_margin,163,0.5979807201338692,0.41814661026000977,3.5806580094247398,0.2804587803715005,92,71,-1.2234792709350586,2.3088619709014893
15,2,refusal_logmass,163,1.8802639692107592,1.961641311645506,3.864572531565854,0.30269668200853705,114,49,-0.5614833831787109,4.453266143798828
15,2,compliance_logmass,163,1.282283245928677,1.7311153411865252,4.632097258555882,0.36281385831244645,108,55,-1.1066441535949707,3.835222244262696
15,4,safety_projection,163,-1.2659307656112624,-1.6260700225830078,7.687909347020032,0.6021635334613533,61,102,-6.182450890541077,2.19675213098526
15,4,kl_to_static,163,12.973816068260216,12.79765510559082,4.833746283794168,0.3786082289372237,163,0,10.296907424926758,16.296807289123535
15,4,refusal_margin,163,0.7596411024865929,0.6497678756713867,2.8206236866218086,0.2209282978030089,103,60,-0.6583137512207031,2.1363625526428223
15,4,refusal_logmass,163,2.1268187527276257,2.165133476257324,4.214029485679132,0.33006826312155574,118,45,-0.2438516616821289,4.4449286460876465
15,4,compliance_logmass,163,1.3671776502410327,1.305765151977539,4.2582268273088495,0.33353006609087216,115,48,-0.467079162597658,3.5412154197692844
15,8,safety_projection,163,-1.3154467265664433,-2.1989229917526245,11.832953068169719,0.9268284144860994,71,92,-9.122466325759888,6.546779990196228
15,8,kl_to_static,163,14.18278028676572,14.432973861694336,5.066178404195358,0.3968137176589328,163,0,11.268190860748293,17.26328754425049
15,8,refusal_margin,163,0.384946881627744,0.4111814498901367,3.3781456088648762,0.2645967849724345,95,68,-1.023355484008789,2.135531425476074
15,8,refusal_logmass,163,1.7686679948327,1.6262760162353516,4.0750054854750974,0.31917906302566196,112,51,-0.7206358909606942,3.8876590728759775
15,8,compliance_logmass,163,1.3837211135706287,1.0187950134277344,4.643413428578413,0.3637002091548452,101,62,-0.9241118431091309,3.159277915954589
15,16,safety_projection,163,-3.8327408501524136,-4.050332546234131,11.605556143024932,0.9090173126946212,59,104,-10.571530640125275,3.350265383720398
15,16,kl_to_static,163,13.900697506964207,14.388032913208008,4.770353475747045,0.37364292100152474,163,0,11.725200653076172,16.79341220855713
15,16,refusal_margin,163,0.3607492446899414,0.4761056900024414,2.9203553012132843,0.22873988073530338,95,68,-1.485659122467041,1.816391944885254
15,16,refusal_logmass,163,1.4502904341996081,1.7143096923828143,4.208713959103276,0.329651918947783,109,54,-1.1690173149108887,4.270073413848877
15,16,compliance_logmass,163,1.0895411909723574,1.1719913482666016,4.145922030136386,0.3247336754939612,108,55,-1.0729870796203604,3.4782752990722647
20,0,safety_projection,163,-1.6293121334965244,-2.548851728439331,8.769205868167585,0.6868572134337979,68,95,-7.817191243171691,4.8860639333724984
20,0,kl_to_static,163,13.829612669860659,13.925237655639648,4.8089223771147,0.3766638705056018,163,0,10.885953903198242,16.771245002746582
20,0,refusal_margin,163,0.16294609403317692,0.5099139213562012,3.3608804853580856,0.26324447613173185,93,70,-0.9379547238349913,1.9009594917297363
20,0,refusal_logmass,163,1.591141741882804,1.6147737503051758,5.057368545025579,0.39612367623316763,110,53,-1.1010813713073722,4.773136615753176
20,0,compliance_logmass,163,1.4281956458384275,1.4191932678222656,4.834983935693461,0.3787051693155805,108,55,-0.7508525848388672,4.494894027709961
20,1,safety_projection,163,-1.8795045429577857,-1.209216594696045,6.950596371133547,0.5444127241338725,68,95,-6.521198213100434,3.081589937210083
20,1,kl_to_static,163,12.877996142016599,13.166245460510254,4.716228325053182,0.36940351201271054,163,0,10.604750156402588,15.912914752960205
20,1,refusal_margin,163,0.3615814805762168,0.5509033203125,2.9895800423003855,0.23416198092072166,98,65,-1.0032315254211426,1.9544051885604858
20,1,refusal_logmass,163,2.0642155635576307,1.9738731384277344,3.9359549308806403,0.308287783029389,112,51,-0.7118406295776358,4.220258712768554
20,1,compliance_logmass,163,1.7026340785933418,1.1641998291015643,4.247806158079181,0.33271385628387157,105,58,-1.0125808715820321,3.5428895950317383
