k,response_step,layer,component,singular_value,explained_energy_ratio,cumulative_energy_ratio
5,0,28,70,28.79549217224121,0.0004775532870553434,0.9810045957565308
5,0,28,71,28.30974006652832,0.00046157746692188084,0.9814660549163818
5,0,28,72,27.969680786132812,0.000450555031420663,0.981916606426239
5,0,28,73,27.351354598999023,0.00043085438665002584,0.9823474884033203
5,0,28,74,26.963973999023438,0.00041873633745126426,0.9827662110328674
5,0,28,75,26.693349838256836,0.0004103731771465391,0.983176589012146
5,0,28,76,26.372154235839844,0.0004005567461717874,0.9835771322250366
5,0,28,77,26.133037567138672,0.0003933259577024728,0.9839704632759094
5,0,28,78,25.99567222595215,0.0003892018867190927,0.9843596816062927
5,0,28,79,25.488296508789062,0.0003741575055755675,0.9847338795661926
5,0,28,80,25.203895568847656,0.0003658542991615832,0.985099732875824
5,0,28,81,25.07413101196289,0.00036209673271514475,0.9854618310928345
5,0,28,82,24.99791145324707,0.0003598986950237304,0.9858217239379883
5,0,28,83,24.541994094848633,0.00034689056337811053,0.986168622970581
5,0,28,84,24.225339889526367,0.0003379967820364982,0.9865066409111023
5,0,28,85,24.056133270263672,0.0003332916821818799,0.9868399500846863
5,0,28,86,23.76085090637207,0.0003251597809139639,0.987165093421936
5,0,28,87,23.595563888549805,0.00032065168488770723,0.9874857068061829
5,0,28,88,23.136606216430664,0.0003082990297116339,0.9877939820289612
5,0,28,89,23.003421783447266,0.00030475982930511236,0.9880987405776978
5,0,28,90,22.951719284057617,0.00030339142540469766,0.9884021282196045
5,0,28,91,22.746421813964844,0.00029798815376125276,0.9887000918388367
5,0,28,92,22.1256046295166,0.00028194417245686054,0.9889820218086243
5,0,28,93,22.007051467895508,0.0002789308491628617,0.9892609715461731
5,0,28,94,21.886089324951172,0.00027587299700826406,0.9895368218421936
5,0,28,95,21.697946548461914,0.00027115028933621943,0.9898080229759216
5,0,28,96,21.464109420776367,0.0002653374685905874,0.9900733828544617
5,0,28,97,21.33135414123535,0.0002620653831399977,0.9903354644775391
5,0,28,98,21.099170684814453,0.0002563915040809661,0.9905918836593628
5,0,28,99,20.970218658447266,0.00025326706236228347,0.9908451437950134
5,0,28,100,20.640567779541016,0.0002453669731039554,0.9910905361175537
5,0,28,101,20.456363677978516,0.0002410070301266387,0.9913315176963806
5,0,28,102,20.27923011779785,0.00023685127962380648,0.991568386554718
5,0,28,103,20.156356811523438,0.00023398979101330042,0.9918023347854614
5,0,28,104,20.071043014526367,0.00023201320436783135,0.992034375667572
5,0,28,105,19.892168045043945,0.00022789620561525226,0.9922622442245483
5,0,28,106,19.475507736206055,0.00021844917500857264,0.9924806952476501
5,0,28,107,19.34420394897461,0.00021551352983806282,0.992696225643158
5,0,28,108,19.17881965637207,0.00021184419165365398,0.9929080605506897
5,0,28,109,19.152233123779297,0.0002112572838086635,0.9931192994117737
5,0,28,110,18.783096313476562,0.00020319227769505233,0.993322491645813
5,0,28,111,18.597152709960938,0.00019918917678296566,0.9935216903686523
5,0,28,112,18.493778228759766,0.00019698090909514576,0.993718683719635
5,0,28,113,18.459136962890625,0.00019624365086201578,0.9939149022102356
5,0,28,114,18.219261169433594,0.00019117642659693956,0.9941060543060303
5,0,28,115,17.969219207763672,0.00018596502195578068,0.9942920207977295
5,0,28,116,17.767072677612305,0.00018180448387283832,0.9944738149642944
5,0,28,117,17.679931640625,0.00018002548313234001,0.9946538209915161
5,0,28,118,17.5087890625,0.000176557048689574,0.9948303699493408
5,0,28,119,17.396800994873047,0.00017430570733267814,0.9950047731399536
5,0,28,120,17.285886764526367,0.00017209020734298974,0.9951768517494202
5,0,28,121,17.218210220336914,0.0001707453338894993,0.9953476190567017
5,0,28,122,16.862565994262695,0.00016376464918721467,0.9955114126205444
5,0,28,123,16.721763610839844,0.00016104118549264967,0.9956724643707275
5,0,28,124,16.612939834594727,0.0001589519379194826,0.9958314299583435
5,0,28,125,16.547727584838867,0.00015770649770274758,0.9959891438484192
5,0,28,126,16.31026840209961,0.00015321279352065176,0.9961423277854919
5,0,28,127,16.084096908569336,0.0001489931164542213,0.9962912797927856
5,0,28,128,15.999515533447266,0.00014743021165486425,0.9964386820793152
5,0,28,129,15.880651473999023,0.00014524775906465948,0.9965839385986328
5,0,28,130,15.831554412841797,0.00014435105549637228,0.996728241443634
5,0,28,131,15.62940788269043,0.0001406882656738162,0.9968689680099487
5,0,28,132,15.490609169006348,0.00013820055755786598,0.9970071315765381
5,0,28,133,15.24421501159668,0.00013383908662945032,0.9971410036087036
5,0,28,134,15.130094528198242,0.00013184270937927067,0.9972728490829468
5,0,28,135,14.94107437133789,0.00012856906687375158,0.9974014163017273
5,0,28,136,14.836691856384277,0.00012677890481427312,0.9975281953811646
5,0,28,137,14.723506927490234,0.000124851954751648,0.997653067111969
5,0,28,138,14.600814819335938,0.00012277982023078948,0.9977757930755615
5,0,28,139,14.38504409790039,0.00011917775555048138,0.9978950023651123
5,0,28,140,14.258143424987793,0.00011708433157764375,0.9980120658874512
5,0,28,141,14.045693397521973,0.0001136211576522328,0.9981257319450378
5,0,28,142,13.985453605651855,0.00011264863860560581,0.9982383251190186
5,0,28,143,13.850915908813477,0.00011049173917854205,0.9983487725257874
5,0,28,144,13.779156684875488,0.00010934982856269926,0.9984581470489502
5,0,28,145,13.692832946777344,0.00010798400762723759,0.9985661506652832
5,0,28,146,13.510781288146973,0.00010513171582715586,0.9986712336540222
5,0,28,147,13.355283737182617,0.00010272568761138245,0.998773992061615
5,0,28,148,13.196625709533691,0.00010029946133727208,0.998874306678772
5,0,28,149,13.138299942016602,9.941482858266681e-05,0.9989736676216125
5,0,28,150,12.941665649414062,9.646131366025656e-05,0.9990701675415039
5,0,28,151,12.52646255493164,9.037112613441423e-05,0.9991605281829834
5,0,28,152,12.516207695007324,9.022322774399072e-05,0.9992507696151733
5,0,28,153,12.3347806930542,8.762654761085287e-05,0.9993383884429932
5,0,28,154,12.113239288330078,8.450714085483924e-05,0.9994229078292847
5,0,28,155,11.811141014099121,8.034457277972251e-05,0.9995032548904419
5,0,28,156,11.744719505310059,7.944345270516351e-05,0.9995826482772827
5,0,28,157,11.656259536743164,7.825124339433387e-05,0.9996609091758728
5,0,28,158,11.400489807128906,7.485482638003305e-05,0.9997357726097107
5,0,28,159,11.243307113647461,7.280496356543154e-05,0.999808669090271
5,0,28,160,11.081607818603516,7.072588050505146e-05,0.9998793601989746
5,0,28,161,10.691094398498535,6.582898640772328e-05,0.9999452233314514
5,0,28,162,9.753036499023438,5.4783846280770376e-05,1.0
10,0,28,0,1016.353271484375,0.5842241644859314,0.5842241644859314
10,0,28,1,438.83154296875,0.10891451686620712,0.6931386590003967
10,0,28,2,207.9178009033203,0.024449694901704788,0.7175883650779724
10,0,28,3,169.572998046875,0.01626310683786869,0.7338514924049377
10,0,28,4,165.34323120117188,0.015461903065443039,0.7493134140968323
10,0,28,5,153.95281982421875,0.013404956087470055,0.7627183794975281
10,0,28,6,146.22218322753906,0.01209251582622528,0.7748109102249146
10,0,28,7,139.50897216796875,0.011007644236087799,0.7858184576034546
10,0,28,8,126.7236328125,0.009082498028874397,0.7949009537696838
10,0,28,9,120.18792724609375,0.008169806562364101,0.8030707836151123
10,0,28,10,116.54769897460938,0.007682410534471273,0.8107531666755676
10,0,28,11,112.34382629394531,0.007138197310268879,0.8178913593292236
10,0,28,12,106.59921264648438,0.006426849402487278,0.8243182301521301
10,0,28,13,101.60062408447266,0.005838252138346434,0.8301565051078796
10,0,28,14,99.26746368408203,0.005573191214352846,0.835729718208313
10,0,28,15,94.96549224853516,0.005100605543702841,0.8408303260803223
10,0,28,16,92.695068359375,0.004859631881117821,0.8456899523735046
10,0,28,17,89.62317657470703,0.004542875103652477,0.8502328395843506
10,0,28,18,88.02957153320312,0.004382756073027849,0.8546155691146851
10,0,28,19,86.59900665283203,0.004241465590894222,0.8588570356369019
10,0,28,20,85.89795684814453,0.004173071123659611,0.8630301356315613
10,0,28,21,82.58692932128906,0.0038575606886297464,0.8668876886367798
10,0,28,22,80.86183166503906,0.0036980879958719015,0.8705857992172241
10,0,28,23,80.0888671875,0.003627725411206484,0.8742135167121887
10,0,28,24,76.8792953491211,0.00334278866648674,0.877556324005127
10,0,28,25,75.24703979492188,0.003202351275831461,0.8807587027549744
10,0,28,26,74.1995620727539,0.0031138150952756405,0.8838725090026855
10,0,28,27,72.16339111328125,0.0029452622402459383,0.8868177533149719
10,0,28,28,71.80180358886719,0.0029158208053559065,0.8897335529327393
10,0,28,29,71.33876037597656,0.002878334140405059,0.8926118612289429
10,0,28,30,70.63449096679688,0.0028217840008437634,0.8954336643218994
10,0,28,31,69.73321533203125,0.0027502328157424927,0.8981838822364807
10,0,28,32,68.48485565185547,0.002652645343914628,0.9008365273475647
10,0,28,33,68.26052856445312,0.0026352962013334036,0.903471827507019
10,0,28,34,67.07785034179688,0.002544769085943699,0.9060165882110596
10,0,28,35,65.78125762939453,0.0024473408702760935,0.9084639549255371
10,0,28,36,64.85260009765625,0.0023787287063896656,0.9108426570892334
10,0,28,37,64.58589935302734,0.002359204227104783,0.9132018685340881
10,0,28,38,64.05228424072266,0.002320381347090006,0.9155222773551941
10,0,28,39,62.702796936035156,0.0022236371878534555,0.9177458882331848
10,0,28,40,62.10301208496094,0.0021813001949340105,0.919927179813385
10,0,28,41,60.828304290771484,0.0020926736760884523,0.9220198392868042
10,0,28,42,60.47318649291992,0.0020683109760284424,0.9240881204605103
10,0,28,43,59.636680603027344,0.0020114860963076353,0.9260995984077454
10,0,28,44,58.987754821777344,0.0019679488614201546,0.9280675649642944
10,0,28,45,58.38221740722656,0.0019277525134384632,0.9299952983856201
10,0,28,46,57.900482177734375,0.0018960704328492284,0.9318913817405701
10,0,28,47,57.77020263671875,0.0018875474343076348,0.9337789416313171
10,0,28,48,56.45609664916992,0.0018026515608653426,0.9355815649032593
10,0,28,49,55.33852005004883,0.0017319892067462206,0.9373135566711426
10,0,28,50,54.85320281982422,0.0017017434583976865,0.9390153288841248
10,0,28,51,53.710227966308594,0.0016315638786181808,0.9406468868255615
10,0,28,52,52.98008346557617,0.0015875059179961681,0.9422343969345093
10,0,28,53,52.33640670776367,0.0015491658123210073,0.9437835812568665
10,0,28,54,51.71314239501953,0.0015124880010262132,0.945296049118042
10,0,28,55,51.36133575439453,0.0014919789973646402,0.9467880725860596
10,0,28,56,50.58881378173828,0.001447435119189322,0.9482355117797852
10,0,28,57,49.870609283447266,0.0014066286385059357,0.9496421217918396
10,0,28,58,49.4597282409668,0.001383545808494091,0.951025664806366
10,0,28,59,48.67858123779297,0.0013401886681094766,0.9523658752441406
10,0,28,60,47.780303955078125,0.0012911834055557847,0.9536570310592651
10,0,28,61,47.42277145385742,0.00127193215303123,0.9549289345741272
10,0,28,62,47.12413787841797,0.0012559632305055857,0.9561849236488342
10,0,28,63,46.375946044921875,0.0012163978535681963,0.9574013352394104
10,0,28,64,45.66929626464844,0.0011796107282862067,0.9585809707641602
10,0,28,65,45.24884796142578,0.0011579908896237612,0.9597389698028564
10,0,28,66,44.24066925048828,0.0011069639585912228,0.960845947265625
10,0,28,67,43.957462310791016,0.0010928368428722024,0.9619387984275818
10,0,28,68,43.2966194152832,0.0010602250695228577,0.9629990458488464
10,0,28,69,42.398006439208984,0.0010166722349822521,0.9640157222747803
10,0,28,70,41.806434631347656,0.0009884992614388466,0.9650042057037354
10,0,28,71,41.28650665283203,0.0009640651987865567,0.9659682512283325
10,0,28,72,41.1042594909668,0.0009555727592669427,0.9669238328933716
10,0,28,73,40.842140197753906,0.0009434243547730148,0.9678672552108765
10,0,28,74,39.971031188964844,0.0009036095580086112,0.9687708616256714
10,0,28,75,39.348114013671875,0.0008756648749113083,0.9696465134620667
10,0,28,76,39.00304412841797,0.0008603736641816795,0.9705069065093994
10,0,28,77,38.67683792114258,0.0008460422395728528,0.9713529348373413
10,0,28,78,38.09868621826172,0.000820937508251518,0.9721738696098328
10,0,28,79,37.737220764160156,0.000805433897767216,0.9729793071746826
10,0,28,80,37.167213439941406,0.0007812861003912985,0.9737606048583984
10,0,28,81,36.99689483642578,0.000774142041336745,0.9745347499847412
10,0,28,82,36.80690383911133,0.0007662115385755897,0.9753009676933289
10,0,28,83,36.002254486083984,0.0007330768276005983,0.9760340452194214
10,0,28,84,35.74003219604492,0.0007224369910545647,0.9767564535140991
10,0,28,85,35.24394607543945,0.0007025207742117345,0.9774589538574219
10,0,28,86,34.84770965576172,0.0006868131458759308,0.9781457781791687
10,0,28,87,34.08790588378906,0.0006571896956302226,0.9788029789924622
10,0,28,88,33.85163497924805,0.000648111046757549,0.979451060295105
10,0,28,89,33.194637298583984,0.0006231978768482804,0.9800742864608765
10,0,28,90,32.59153747558594,0.0006007583579048514,0.9806750416755676
10,0,28,91,32.16455078125,0.0005851202295161784,0.9812601804733276
10,0,28,92,31.39206886291504,0.0005573525559157133,0.9818175435066223
10,0,28,93,31.341012954711914,0.0005555410753004253,0.982373058795929
10,0,28,94,30.9713134765625,0.0005425119888968766,0.9829155802726746
10,0,28,95,30.431432723999023,0.000523763126693666,0.9834392666816711
10,0,28,96,30.209625244140625,0.0005161557928659022,0.983955442905426
10,0,28,97,29.951160430908203,0.0005073613720014691,0.9844627976417542
10,0,28,98,29.587100982666016,0.0004951023147441447,0.9849578738212585
10,0,28,99,29.029111862182617,0.00047660392010584474,0.9854344725608826
10,0,28,100,28.619524002075195,0.00046324945287778974,0.9858977198600769
10,0,28,101,28.294126510620117,0.00045277527533471584,0.9863504767417908
10,0,28,102,27.778902053833008,0.00043643571552820504,0.9867869019508362
10,0,28,103,27.321311950683594,0.00042217568261548877,0.9872090816497803
10,0,28,104,26.999996185302734,0.0004123039834666997,0.9876213669776917
10,0,28,105,26.712011337280273,0.00040355551755055785,0.9880249500274658
10,0,28,106,26.115447998046875,0.00038573145866394043,0.9884107112884521
10,0,28,107,25.834543228149414,0.0003774780489038676,0.9887881875038147
10,0,28,108,25.60869026184082,0.0003709068114403635,0.989159107208252
10,0,28,109,25.013086318969727,0.0003538544406183064,0.9895129799842834
10,0,28,110,24.775671005249023,0.0003471689997240901,0.9898601770401001
10,0,28,111,24.596521377563477,0.0003421665169298649,0.9902023077011108
10,0,28,112,24.224000930786133,0.0003318806120660156,0.9905341863632202
10,0,28,113,24.099918365478516,0.00032848931732587516,0.9908626675605774
10,0,28,114,23.876304626464844,0.0003224217507522553,0.9911850690841675
10,0,28,115,23.6332950592041,0.000315892044454813,0.991500973701477
10,0,28,116,23.22908592224121,0.0003051788080483675,0.991806149482727
10,0,28,117,22.805757522583008,0.0002941569546237588,0.9921002984046936
10,0,28,118,22.566408157348633,0.00028801491134800017,0.9923883080482483
10,0,28,119,22.37801742553711,0.00028322613798081875,0.992671549320221
10,0,28,120,22.025938034057617,0.0002743841032497585,0.9929459095001221
10,0,28,121,21.982643127441406,0.000273306475719437,0.9932191967964172
10,0,28,122,21.56804847717285,0.0002630945236887783,0.9934822916984558
10,0,28,123,21.330299377441406,0.0002573262026999146,0.9937396049499512
10,0,28,124,21.156272888183594,0.0002531444770283997,0.9939927458763123
10,0,28,125,20.8797664642334,0.000246570649323985,0.994239330291748
10,0,28,126,20.67042350769043,0.00024165115610230714,0.9944809675216675
10,0,28,127,20.41440200805664,0.0002357020857743919,0.9947167038917542
10,0,28,128,20.041400909423828,0.00022716753301210701,0.9949439167976379
10,0,28,129,19.958843231201172,0.00022529982379637659,0.9951692223548889
10,0,28,130,19.787220001220703,0.0002214418345829472,0.9953906536102295
10,0,28,131,19.63196563720703,0.00021798051602672786,0.9956086277961731
10,0,28,132,19.527074813842773,0.00021565744827967137,0.9958242774009705
10,0,28,133,19.212926864624023,0.0002087743632728234,0.9960330724716187
10,0,28,134,18.983051300048828,0.00020380843488965183,0.9962368607521057
10,0,28,135,18.49823570251465,0.00019353108655195683,0.9964303970336914
10,0,28,136,18.218544006347656,0.00018772298062685877,0.9966181516647339
10,0,28,137,17.713394165039062,0.00017745723016560078,0.9967955946922302
10,0,28,138,17.638774871826172,0.00017596525140106678,0.9969715476036072
10,0,28,139,17.386919021606445,0.00017097608360927552,0.9971425533294678
10,0,28,140,17.276926040649414,0.00016881967894732952,0.9973113536834717
10,0,28,141,17.04837417602539,0.0001643826690269634,0.9974757432937622
10,0,28,142,16.85428810119629,0.00016066116222646087,0.9976363778114319
10,0,28,143,16.732213973999023,0.00015834228543099016,0.9977948069572449
10,0,28,144,16.562021255493164,0.00015513748803641647,0.9979499578475952
10,0,28,145,16.106565475463867,0.00014672224642708898,0.9980966448783875
10,0,28,146,15.952117919921875,0.00014392187586054206,0.99824059009552
10,0,28,147,15.732497215270996,0.00013998626673128456,0.9983805418014526
10,0,28,148,15.529607772827148,0.00013639897224493325,0.9985169768333435
10,0,28,149,15.320907592773438,0.00013275750097818673,0.9986497163772583
10,0,28,150,15.034671783447266,0.000127843304653652,0.9987775683403015
10,0,28,151,14.77563762664795,0.000123476012959145,0.9989010095596313
10,0,28,152,14.567913055419922,0.0001200286133098416,0.999021053314209
10,0,28,153,14.479947090148926,0.00011858344078063965,0.999139666557312
10,0,28,154,13.965697288513184,0.0001103101167245768,0.9992499351501465
10,0,28,155,13.91952133178711,0.00010958186612697318,0.9993595480918884
10,0,28,156,13.66694164276123,0.00010564106923993677,0.9994651675224304
10,0,28,157,13.42984390258789,0.00010200747783528641,0.9995672106742859
10,0,28,158,13.226640701293945,9.89439504337497e-05,0.999666154384613
10,0,28,159,12.830245971679688,9.310222958447412e-05,0.9997592568397522
10,0,28,160,12.456818580627441,8.776157483225688e-05,0.9998469948768616
10,0,28,161,11.864357948303223,7.961200753925368e-05,0.9999266266822815
10,0,28,162,11.411170959472656,7.364623161265627e-05,1.000000238418579
20,0,28,0,1036.2989501953125,0.5687608122825623,0.5687608122825623
20,0,28,1,398.005615234375,0.08389536291360855,0.6526561975479126
20,0,28,2,291.8595275878906,0.04511358216404915,0.6977697610855103
20,0,28,3,203.75997924804688,0.021988587453961372,0.7197583317756653
20,0,28,4,192.93991088867188,0.019715314731001854,0.7394736409187317
20,0,28,5,158.46885681152344,0.013299871236085892,0.7527735233306885
20,0,28,6,144.52520751953125,0.011062334291636944,0.7638358473777771
20,0,28,7,139.37425231933594,0.010287851095199585,0.7741237878799438
20,0,28,8,122.4758071899414,0.007944383658468723,0.7820681929588318
20,0,28,9,119.75959014892578,0.007595916278660297,0.789664089679718
20,0,28,10,116.38749694824219,0.007174179423600435,0.7968382835388184
20,0,28,11,112.73695373535156,0.006731194909662008,0.803569495677948
20,0,28,12,108.00421905517578,0.0061779017560184,0.8097473978996277
20,0,28,13,106.10968017578125,0.0059630656614899635,0.8157104849815369
20,0,28,14,101.47695922851562,0.005453740246593952,0.8211642503738403
20,0,28,15,98.76118469238281,0.005165735259652138,0.8263298273086548
20,0,28,16,98.10797119140625,0.005097628105431795,0.8314274549484253
20,0,28,17,93.49264526367188,0.004629291128367186,0.8360567688941956
20,0,28,18,89.98538208007812,0.004288481082767248,0.8403452634811401
20,0,28,19,89.4529037475586,0.0042378781363368034,0.8445831537246704
20,0,28,20,88.48634338378906,0.0041467901319265366,0.8487299680709839
20,0,28,21,86.89148712158203,0.003998655825853348,0.8527286052703857
20,0,28,22,84.54822540283203,0.003785894950851798,0.8565145134925842
20,0,28,23,82.75950622558594,0.0036273992154747248,0.860141932964325
20,0,28,24,81.74850463867188,0.003539314726367593,0.8636812567710876
20,0,28,25,79.34923553466797,0.0033346102572977543,0.8670158386230469
20,0,28,26,77.68090057373047,0.0031958622857928276,0.8702117204666138
20,0,28,27,77.16608428955078,0.003153642639517784,0.8733653426170349
20,0,28,28,76.524169921875,0.0031013931147754192,0.8764667510986328
20,0,28,29,75.2802505493164,0.0030013849027454853,0.8794681429862976
20,0,28,30,74.81180572509766,0.002964147599413991,0.8824322819709778
20,0,28,31,73.84259796142578,0.0028878427110612392,0.8853200674057007
20,0,28,32,73.25381469726562,0.0028419739101082087,0.8881620168685913
20,0,28,33,72.40953063964844,0.002776841167360544,0.8909388780593872
20,0,28,34,72.12310028076172,0.0027549159713089466,0.8936938047409058
20,0,28,35,70.96908569335938,0.0026674605906009674,0.8963612914085388
20,0,28,36,69.90647888183594,0.0025881798937916756,0.8989494442939758
20,0,28,37,69.279052734375,0.002541929017752409,0.9014913439750671
20,0,28,38,67.42928314208984,0.002408000873401761,0.9038993716239929
20,0,28,39,66.85182189941406,0.0023669335059821606,0.9062663316726685
