comparison,layer,n_train,n_eval,direction_norm,delta_norm_mean,delta_norm_std,projection_mean,projection_std,cosine_mean,cosine_std
harmful_prefix-plain,0,32,32,1.0435932874679565,1.4708335399627686,0.2615721821784973,1.0317814350128174,0.22004929184913635,0.6978530883789062,0.058090921491384506
harmful_prefix-plain,1,32,32,1.4090348482131958,2.229633092880249,0.40146151185035706,1.3941624164581299,0.13942743837833405,0.6373326182365417,0.07645963132381439
harmful_prefix-plain,2,32,32,2.1663661003112793,3.218226909637451,0.38844627141952515,2.127375841140747,0.1252954751253128,0.6679102778434753,0.06461717933416367
harmful_prefix-plain,3,32,32,2.709953784942627,4.353388786315918,0.5407921671867371,2.6687967777252197,0.14939221739768982,0.620783805847168,0.06953810155391693
harmful_prefix-plain,4,32,32,3.57468318939209,5.637295246124268,0.54762864112854,3.546311616897583,0.21457761526107788,0.63339763879776,0.05591762810945511
harmful_prefix-plain,5,32,32,4.259603977203369,6.786463737487793,0.5820366144180298,4.238914489746094,0.3109245300292969,0.6266850233078003,0.042904604226350784
harmful_prefix-plain,6,32,32,4.627427577972412,7.521398544311523,0.6033980250358582,4.59687614440918,0.35649293661117554,0.6128732562065125,0.04374109208583832
harmful_prefix-plain,7,32,32,5.174714088439941,8.315903663635254,0.681397557258606,5.0281548500061035,0.43983548879623413,0.6062839031219482,0.04910644516348839
harmful_prefix-plain,8,32,32,5.497774124145508,8.866103172302246,0.7396610975265503,5.232365131378174,0.4932188391685486,0.5914531350135803,0.04797209054231644
harmful_prefix-plain,9,32,32,5.955099105834961,9.523993492126465,0.7966337203979492,5.71732759475708,0.6516072154045105,0.6005212068557739,0.050834450870752335
harmful_prefix-plain,10,32,32,6.006708145141602,9.948105812072754,0.8355715870857239,5.876989364624023,0.7075297236442566,0.5906488299369812,0.05160774663090706
harmful_prefix-plain,11,32,32,6.012207984924316,10.05312442779541,0.7919111251831055,5.854950904846191,0.6573268175125122,0.5828091502189636,0.05280708149075508
harmful_prefix-plain,12,32,32,6.351352691650391,10.659788131713867,0.8280558586120605,6.094295978546143,0.7658541798591614,0.5716187953948975,0.056899283081293106
harmful_prefix-plain,13,32,32,6.808385372161865,11.3495512008667,0.7279416918754578,6.445129871368408,0.816344678401947,0.5673935413360596,0.05878891050815582
harmful_prefix-plain,14,32,32,7.592533588409424,12.484006881713867,0.7137461304664612,7.14803409576416,0.8811736106872559,0.5722845792770386,0.06026696786284447
harmful_prefix-plain,15,32,32,8.584733963012695,14.092618942260742,0.8650866150856018,8.012513160705566,1.0780858993530273,0.5675785541534424,0.06102675944566727
harmful_prefix-plain,16,32,32,9.580345153808594,15.80083179473877,0.981908917427063,8.85750961303711,1.2326372861862183,0.5589989423751831,0.05871620401740074
harmful_prefix-plain,17,32,32,10.94076156616211,17.55823516845703,1.1226247549057007,10.095494270324707,1.2704007625579834,0.573533296585083,0.05029886215925217
harmful_prefix-plain,18,32,32,11.262226104736328,18.604888916015625,1.234230875968933,10.253164291381836,1.3464831113815308,0.5500016212463379,0.054481010884046555
harmful_prefix-plain,19,32,32,12.352502822875977,20.09596824645996,1.331819772720337,11.205699920654297,1.3714216947555542,0.5568963289260864,0.052933741360902786
harmful_prefix-plain,20,32,32,13.724196434020996,22.78847885131836,1.8239566087722778,12.401748657226562,1.5731295347213745,0.5434451103210449,0.04689248651266098
harmful_prefix-plain,21,32,32,14.903708457946777,25.084186553955078,2.2437939643859863,13.432167053222656,1.7061294317245483,0.5351842641830444,0.047211624681949615
harmful_prefix-plain,22,32,32,16.71214485168457,27.42593765258789,2.383873462677002,14.986968994140625,1.7826091051101685,0.5465705394744873,0.04702761024236679
harmful_prefix-plain,23,32,32,18.920948028564453,30.427797317504883,2.5295023918151855,17.098691940307617,1.8151557445526123,0.5625900030136108,0.046462029218673706
harmful_prefix-plain,24,32,32,22.88939666748047,34.484413146972656,2.61777400970459,21.098709106445312,1.95216965675354,0.6127607226371765,0.047021299600601196
harmful_prefix-plain,25,32,32,25.41587257385254,38.0213737487793,2.680722236633301,23.656728744506836,2.288076877593994,0.6227047443389893,0.0487755611538887
harmful_prefix-plain,26,32,32,28.991561889648438,42.64902114868164,2.7109079360961914,27.334270477294922,2.4652960300445557,0.6414319276809692,0.04916219413280487
harmful_prefix-plain,27,32,32,33.54155731201172,48.38515853881836,2.8869571685791016,32.01534652709961,2.8519577980041504,0.6620009541511536,0.04931847006082535
harmful_prefix-plain,28,32,32,77.49850463867188,111.58882141113281,5.631412982940674,76.1597671508789,7.646694660186768,0.6826430559158325,0.06196082755923271
