comparison,layer,n_train,n_eval,direction_norm,delta_norm_mean,delta_norm_std,projection_mean,projection_std,cosine_mean,cosine_std,probe_position
refusal_prefix-plain,28,32,32,94.57598114013672,100.13819122314453,3.8614394664764404,93.09915161132812,6.0194268226623535,0.9290255308151245,0.03567466884851456,final_token
harmful_prefix-plain,0,32,32,1.0435932874679565,1.4708335399627686,0.2615721821784973,1.0317814350128174,0.22004929184913635,0.6978530883789062,0.058090921491384506,final_token
harmful_prefix-plain,1,32,32,1.3973129987716675,2.212622880935669,0.40023350715637207,1.3835331201553345,0.14098680019378662,0.6372252702713013,0.07564220577478409,final_token
harmful_prefix-plain,2,32,32,2.154515266418457,3.1882264614105225,0.38954758644104004,2.116908311843872,0.1229410395026207,0.6710612177848816,0.06520511209964752,final_token
harmful_prefix-plain,3,32,32,2.7345638275146484,4.350142478942871,0.5310525298118591,2.695786952972412,0.1409783661365509,0.6273244023323059,0.06884851306676865,final_token
harmful_prefix-plain,4,32,32,3.6410460472106934,5.685107231140137,0.5234059691429138,3.618987560272217,0.20003372430801392,0.6405003070831299,0.05272335931658745,final_token
harmful_prefix-plain,5,32,32,4.29210090637207,6.809640407562256,0.551232099533081,4.267655372619629,0.2842184007167816,0.6287059783935547,0.041005171835422516,final_token
harmful_prefix-plain,6,32,32,4.607324600219727,7.535139083862305,0.5996749997138977,4.569019317626953,0.33274367451667786,0.6081180572509766,0.04146714136004448,final_token
harmful_prefix-plain,7,32,32,5.229127883911133,8.402942657470703,0.6711629629135132,5.045384883880615,0.40919068455696106,0.602286159992218,0.04790540412068367,final_token
harmful_prefix-plain,8,32,32,5.50822639465332,8.939104080200195,0.7306994199752808,5.2235565185546875,0.433706670999527,0.586113452911377,0.04632885381579399,final_token
harmful_prefix-plain,9,32,32,5.883926868438721,9.522529602050781,0.7583540678024292,5.587810039520264,0.5134806632995605,0.5881237983703613,0.04801149666309357,final_token
harmful_prefix-plain,10,32,32,5.9982218742370605,9.871685028076172,0.7005980014801025,5.645815849304199,0.5188584327697754,0.5731126070022583,0.049708787351846695,final_token
harmful_prefix-plain,11,32,32,6.203789234161377,10.210033416748047,0.6807217001914978,5.849536895751953,0.5464845299720764,0.5740795135498047,0.05212324485182762,final_token
harmful_prefix-plain,12,32,32,6.418806076049805,10.78663444519043,0.7539331912994385,5.940572738647461,0.6694802045822144,0.5517635345458984,0.05900968611240387,final_token
harmful_prefix-plain,13,32,32,6.884579658508301,11.52927303314209,0.6697677969932556,6.377895355224609,0.7710068225860596,0.5535579919815063,0.062131039798259735,final_token
