k,response_step,layer,component,singular_value,explained_energy_ratio,cumulative_energy_ratio
5,0,28,137,49.14596939086914,0.001197860692627728,0.977713942527771
5,0,28,138,48.628482818603516,0.001172767486423254,0.9788867235183716
5,0,28,139,48.51354217529297,0.001167230075225234,0.9800539612770081
5,0,28,140,47.952152252197266,0.001140372478403151,0.9811943173408508
5,0,28,141,47.48613357543945,0.0011183149181306362,0.9823126792907715
5,0,28,142,47.039852142333984,0.0010973935713991523,0.9834100604057312
5,0,28,143,46.12921142578125,0.0010553160682320595,0.9844653606414795
5,0,28,144,45.91939163208008,0.001045737648382783,0.985511064529419
5,0,28,145,45.73000717163086,0.0010371296666562557,0.9865482449531555
5,0,28,146,44.89363479614258,0.0009995397413149476,0.987547755241394
5,0,28,147,44.34360122680664,0.0009751971228979528,0.9885229468345642
5,0,28,148,44.03792953491211,0.0009617989417165518,0.9894847869873047
5,0,28,149,43.26191711425781,0.0009282010141760111,0.9904129505157471
5,0,28,150,41.87370681762695,0.0008695875876583159,0.99128258228302
5,0,28,151,41.483768463134766,0.0008534673252142966,0.9921360015869141
5,0,28,152,41.0939826965332,0.0008375041652470827,0.9929735064506531
5,0,28,153,40.561256408691406,0.0008159307762980461,0.9937894344329834
5,0,28,154,39.76990509033203,0.0007844036445021629,0.9945738315582275
5,0,28,155,39.59452438354492,0.0007775006233714521,0.9953513145446777
5,0,28,156,39.37283706665039,0.0007688186597079039,0.9961201548576355
5,0,28,157,39.04515075683594,0.0007560747326351702,0.9968762397766113
5,0,28,158,38.06449508666992,0.0007185725844465196,0.9975948333740234
5,0,28,159,37.464847564697266,0.0006961108883842826,0.9982909560203552
5,0,28,160,37.154579162597656,0.000684628845192492,0.9989756345748901
5,0,28,161,36.236141204833984,0.0006512000109069049,0.9996268153190613
5,0,28,162,27.435256958007812,0.0003732918994501233,1.0000001192092896
10,0,28,0,742.636474609375,0.2643686532974243,0.2643686532974243
10,0,28,1,331.1872863769531,0.05257807672023773,0.31694674491882324
10,0,28,2,252.95648193359375,0.03067248873412609,0.3476192355155945
10,0,28,3,229.46054077148438,0.02523907460272312,0.37285831570625305
10,0,28,4,226.4482421875,0.024580759927630424,0.39743906259536743
10,0,28,5,208.84210205078125,0.020907087251544,0.4183461368083954
10,0,28,6,200.06451416015625,0.019186578691005707,0.4375327229499817
10,0,28,7,182.10079956054688,0.015895754098892212,0.4534285068511963
10,0,28,8,175.56752014160156,0.014775621704757214,0.468204140663147
10,0,28,9,166.4963836669922,0.0132882259786129,0.48149237036705017
10,0,28,10,162.1243133544922,0.012599511072039604,0.49409186840057373
10,0,28,11,152.906494140625,0.011207513511180878,0.5052993893623352
10,0,28,12,149.3957061767578,0.010698764584958553,0.515998125076294
10,0,28,13,141.32835388183594,0.009574498049914837,0.5255725979804993
10,0,28,14,135.59959411621094,0.00881402287632227,0.5343866348266602
10,0,28,15,133.8553466796875,0.008588728494942188,0.5429753661155701
10,0,28,16,130.93223571777344,0.00821770541369915,0.5511930584907532
10,0,28,17,128.7938232421875,0.007951471023261547,0.5591445565223694
10,0,28,18,125.95162200927734,0.007604400161653757,0.5667489767074585
10,0,28,19,123.33346557617188,0.007291540037840605,0.5740405321121216
10,0,28,20,122.80038452148438,0.00722864456474781,0.5812692046165466
10,0,28,21,122.299560546875,0.00716980267316103,0.5884389877319336
10,0,28,22,119.54865264892578,0.00685088662430644,0.5952898859977722
10,0,28,23,118.24618530273438,0.0067024207673966885,0.6019922494888306
10,0,28,24,115.71824645996094,0.0064189075492322445,0.6084111332893372
10,0,28,25,115.08924865722656,0.006349315866827965,0.6147604584693909
10,0,28,26,114.2976303100586,0.006262271199375391,0.6210227012634277
10,0,28,27,113.35997772216797,0.006159945856779814,0.62718266248703
10,0,28,28,111.61212158203125,0.0059714545495808125,0.6331540942192078
10,0,28,29,110.94229125976562,0.005899995565414429,0.6390540599822998
10,0,28,30,110.20606231689453,0.005821948871016502,0.6448760032653809
10,0,28,31,109.19607543945312,0.005715726874768734,0.6505917906761169
10,0,28,32,108.67355346679688,0.005661156494170427,0.656252920627594
10,0,28,33,108.14778137207031,0.0056065102107822895,0.6618594527244568
10,0,28,34,107.49637603759766,0.005539174657315016,0.6673986315727234
