comparison,layer,n_train,n_eval,direction_norm,delta_norm_mean,delta_norm_std,projection_mean,projection_std,cosine_mean,cosine_std
harmful_prefix-plain,3,32,32,2.7343297004699707,4.3509416580200195,0.5310646891593933,2.6955201625823975,0.14016960561275482,0.6271665096282959,0.06893384456634521
harmful_prefix-plain,4,32,32,3.642460823059082,5.685826301574707,0.5233226418495178,3.618255615234375,0.19906197488307953,0.6403028964996338,0.052778489887714386
harmful_prefix-plain,5,32,32,4.292999267578125,6.8071184158325195,0.5488758683204651,4.264104843139648,0.2852437198162079,0.6283962726593018,0.04114019125699997
harmful_prefix-plain,6,32,32,4.608015060424805,7.532144069671631,0.5964436531066895,4.566407203674316,0.3320709466934204,0.6079939603805542,0.04142804816365242
harmful_prefix-plain,7,32,32,5.2291483879089355,8.40030288696289,0.6716775894165039,5.042097091674805,0.4088893532752991,0.6020797491073608,0.04780907928943634
harmful_prefix-plain,8,32,32,5.505395889282227,8.936932563781738,0.7314134240150452,5.219947814941406,0.43575939536094666,0.5858370065689087,0.046361684799194336
harmful_prefix-plain,9,32,32,5.881274700164795,9.52139663696289,0.7611660957336426,5.584591388702393,0.5161444544792175,0.5878459811210632,0.04808925837278366
harmful_prefix-plain,10,32,32,5.993591785430908,9.870811462402344,0.7046794295310974,5.642500400543213,0.5235511064529419,0.5728012323379517,0.04978381097316742
harmful_prefix-plain,11,32,32,6.199183940887451,10.208551406860352,0.6837178468704224,5.845337390899658,0.5499498248100281,0.5737227201461792,0.05212174355983734
harmful_prefix-plain,12,32,32,6.4128899574279785,10.786096572875977,0.7596876621246338,5.938584327697754,0.673263430595398,0.5515807867050171,0.059003982692956924
harmful_prefix-plain,13,32,32,6.87940788269043,11.52785873413086,0.6719772815704346,6.377678394317627,0.7729209661483765,0.5535791516304016,0.062046974897384644
harmful_prefix-plain,14,32,32,7.697654724121094,12.761966705322266,0.7244866490364075,7.236538887023926,0.8747150301933289,0.5672364234924316,0.062349800020456314
harmful_prefix-plain,15,32,32,8.542871475219727,14.329389572143555,0.8413878083229065,7.928044319152832,1.0217158794403076,0.5529992580413818,0.06210501119494438
harmful_prefix-plain,16,32,32,9.37601089477539,15.92534065246582,0.9591877460479736,8.650243759155273,1.130375862121582,0.5421144962310791,0.056192364543676376
harmful_prefix-plain,17,32,32,10.444643020629883,17.53296661376953,1.2477205991744995,9.617691040039062,1.2587666511535645,0.5473093390464783,0.051967304199934006
harmful_prefix-plain,18,32,32,10.870779037475586,18.792238235473633,1.4267781972885132,10.01468276977539,1.4061386585235596,0.5317249298095703,0.05592968314886093
harmful_prefix-plain,19,32,32,12.034838676452637,20.53685760498047,1.593826413154602,11.138729095458984,1.622336745262146,0.5410401821136475,0.05899890884757042
harmful_prefix-plain,20,32,32,13.405962944030762,23.446762084960938,2.110100746154785,12.402168273925781,1.8897150754928589,0.5270689725875854,0.05308178812265396
harmful_prefix-plain,21,32,32,14.761971473693848,26.059572219848633,2.657460927963257,13.631254196166992,2.1824750900268555,0.5212946534156799,0.05418894812464714
harmful_prefix-plain,22,32,32,16.41636085510254,28.597766876220703,2.789905309677124,15.03714370727539,2.34114670753479,0.5245295763015747,0.056433193385601044
harmful_prefix-plain,23,32,32,18.205787658691406,31.62653923034668,3.07525634765625,16.76628875732422,2.4428560733795166,0.5295400023460388,0.055790506303310394
harmful_prefix-plain,24,32,32,22.317829132080078,35.80070495605469,3.2979044914245605,20.759471893310547,2.5221304893493652,0.5801491737365723,0.05254173278808594
harmful_prefix-plain,25,32,32,23.893333435058594,38.84483337402344,3.5952584743499756,22.39211654663086,2.9553239345550537,0.5763177871704102,0.05674987658858299
harmful_prefix-plain,26,32,32,27.65602684020996,44.09121322631836,3.8113207817077637,26.422836303710938,3.3734443187713623,0.5990811586380005,0.05784901976585388
harmful_prefix-plain,27,32,32,32.94141387939453,50.735008239746094,3.9202468395233154,32.179473876953125,4.042459011077881,0.6335583925247192,0.059116728603839874
harmful_prefix-plain,28,32,32,70.8207015991211,103.79986572265625,6.121481418609619,70.75848388671875,8.686955451965332,0.6813639402389526,0.0721367746591568
